datetime,portfolio_value,cash,positions,return
2020-03-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-16 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-20 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-21 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-22 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-23 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-24 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-25 09:30:00-04:00,100000.0,100000.0,[],0.0
2020-03-26 09:30:00-04:00,100000.0,100000.0,[],0.0
