Date,Open,High,Low,Close,Volume
03/14/2025,"556.11","563.83","551.49","562.81","62,660,320"
03/13/2025,"558.49","559.11","549.68","551.42","74,079,406"
03/12/2025,"562.17","563.11","553.69","558.87","69,588,172"
03/11/2025,"559.40","564.02","552.02","555.92","88,102,109"
03/10/2025,"567.59","569.54","555.59","560.58","99,326,625"
03/07/2025,"570.90","577.39","565.63","575.92","81,158,812"
03/06/2025,"575.48","580.17","570.12","572.71","80,094,875"
03/05/2025,"576.69","584.88","573.08","583.06","71,230,531"
03/04/2025,"579.71","585.39","572.25","576.86","109,648,203"
03/03/2025,"596.18","597.34","579.90","583.77","74,249,203"
02/28/2025,"585.56","594.72","582.44","594.18","88,744,109"
02/27/2025,"596.85","598.02","584.65","585.05","74,196,656"
02/26/2025,"595.93","599.58","591.86","594.54","43,321,578"
02/25/2025,"597.15","597.89","589.56","594.24","58,266,473"
02/24/2025,"602.02","603.03","596.49","597.21","50,737,207"
02/21/2025,"610.16","610.30","599.47","599.94","76,519,820"
02/20/2025,"611.54","611.68","607.02","610.38","36,554,000"
02/19/2025,"610.08","613.23","609.56","612.93","31,011,070"
02/18/2025,"610.88","611.49","608.38","611.49","26,749,029"
02/14/2025,"609.94","610.99","609.07","609.70","26,910,449"
02/13/2025,"604.48","609.94","603.20","609.73","40,921,301"
02/12/2025,"599.20","604.55","598.51","603.36","45,076,078"
02/11/2025,"602.55","605.86","602.43","605.31","30,056,740"
02/10/2025,"604.03","605.50","602.74","604.85","26,048,711"
02/07/2025,"606.89","608.13","600.05","600.77","50,788,520"
02/06/2025,"605.99","606.45","602.63","606.32","35,771,500"
02/05/2025,"600.64","604.37","598.58","604.22","30,653,150"
02/04/2025,"597.83","602.30","597.28","601.78","33,457,820"
02/03/2025,"592.67","600.29","590.49","597.77","65,857,250"
01/31/2025,"607.50","609.96","601.05","601.82","66,671,469"
01/30/2025,"603.96","606.60","600.72","605.04","39,281,262"
01/29/2025,"603.72","604.13","599.22","601.81","37,177,434"
01/28/2025,"600.62","605.37","597.25","604.52","44,433,320"
01/27/2025,"594.81","599.69","594.64","599.37","70,361,125"
01/24/2025,"609.81","610.78","606.80","607.97","34,604,688"
01/23/2025,"605.80","609.75","605.52","609.75","41,152,102"
01/22/2025,"605.92","607.82","605.36","606.44","48,195,969"
01/21/2025,"600.67","603.06","598.67","603.05","42,532,848"
01/17/2025,"596.96","599.36","595.61","597.58","58,070,633"
01/16/2025,"594.18","594.35","590.93","591.64","43,319,660"
01/15/2025,"590.33","593.94","589.20","592.78","56,900,160"
01/14/2025,"584.36","585.00","578.35","582.19","48,420,578"
01/13/2025,"575.77","581.75","575.35","581.39","47,910,059"
01/10/2025,"585.88","585.95","578.55","580.49","73,105,047"
